id,treat,frpl,dorf,female,school,sat10_compreh,read180_attend
107,1,0,147.87878,1,4,684.86639,.34964481
127,1,0,86.887909,1,2,658.823,.37645888
74,1,1,39.573605,1,3,645.80023,.42327255
86,1,1,100.19425,1,2,626.70764,.44203335
145,1,0,86.136238,1,2,648.66809,.4634138
96,1,1,84.371422,1,3,632.06042,.48291752
19,1,1,79.078773,0,2,611.0993,.48487866
64,1,1,127.76538,1,4,688.32709,.48663187
83,1,1,125.70503,0,2,637.32678,.50376141
112,1,0,142.20474,0,2,700.7699,.50477523
62,1,1,108.56817,1,1,679.99213,.52214754
134,1,0,96.021492,0,2,624.1524,.53882635
89,1,1,99.712143,0,3,641.86798,.53965348
140,1,0,64.882729,0,1,616.4834,.54565537
33,1,1,73.585938,0,1,633.00031,.5484916
52,1,1,85.924644,1,1,629.27094,.54965347
31,1,1,128.25623,0,4,675.32178,.55406499
49,1,1,45.849728,0,4,546.612,.56246901
13,1,1,102.65638,0,3,621.97565,.57152367
85,1,1,85.529037,0,1,636.31061,.5748536
90,1,1,139.37311,1,3,697.66278,.57783836
56,1,1,52.295391,1,3,578.86829,.58576626
120,1,0,88.17131,0,4,665.84161,.60117525
130,1,1,33.273769,0,2,547.23962,.61090255
29,1,1,78.209686,0,2,628.29291,.12924856
54,1,1,33.881432,1,2,607.83411,.63858563
23,1,1,55.810944,0,2,607.1651,.43895379
53,1,1,70.181099,0,3,639.34827,.63915408
148,1,0,33.647915,0,2,612.18115,.66102445
115,1,0,26.72131,1,1,604.25,.66376066
3,1,1,86.795021,0,3,632.31689,.67488444
138,1,0,78.801971,0,3,608.90814,.67720187
50,1,1,95.305145,1,2,660.68414,.68408573
117,1,0,45.170696,1,4,577.08545,.68607181
72,1,1,95.691223,1,2,634.50934,.68646419
114,1,0,88.22419,0,1,602.1134,.69329196
6,1,1,74.718346,1,4,606.58752,.69397652
150,1,0,85.783958,0,3,615.13257,.69928604
126,1,0,105.81552,0,4,648.1814,.70622283
108,1,0,108.79292,0,1,664.76379,.70757663
27,1,1,85.532478,0,3,634.96613,.70944941
105,1,0,115.84532,1,1,704.93237,.71361285
135,1,0,150.24382,1,3,681.4248,.71794641
95,1,1,87.280746,0,4,603.04987,.727328
35,1,1,165.10355,0,3,744.43274,.7322306
61,1,1,70.516762,0,2,586.06781,.74309552
24,1,1,94.639839,1,1,591.12933,.74627292
110,1,0,103.70898,0,1,612.43475,.75146502
68,1,1,94.171967,1,1,625.06378,.75225657
9,1,1,81.221123,0,3,688.63391,.75231868
58,1,1,130.69826,1,2,643.14612,.76632828
91,1,1,56.39962,0,3,599.94049,.79212469
131,1,0,55.583088,1,4,617.87115,.81438184
48,1,1,117.14642,1,3,646.1189,.82220298
104,1,1,90.250824,1,2,628.05499,.82236362
67,1,1,95.135872,0,1,634.92841,.82496893
132,1,0,61.541054,0,1,595.98376,.83260316
149,1,0,70.860931,1,3,631.60742,.85782909
122,1,0,146.36478,0,2,696.41943,.85953265
8,1,1,57.636745,1,2,621.78412,.86797047
17,1,1,98.709305,0,3,634.70721,.87106168
102,1,1,27.823307,1,2,605.40369,.87170398
92,1,1,96.465355,1,4,641.56982,.87201357
123,1,1,71.529823,1,3,621.90802,.87897587
26,1,1,72.134109,1,4,627.13428,.87942338
4,1,1,101.51658,1,1,669.479,.88264823
81,1,1,139.17393,0,3,685.19885,.88602811
98,1,1,126.29068,1,3,669.65497,.8865813
59,1,1,118.48343,0,2,659.62738,.89003235
12,1,1,81.416756,1,3,616.0481,.90007371
44,1,1,15.314871,1,4,548.94562,.90058619
82,1,1,121.57685,1,4,681.94708,.90302151
7,1,1,122.34712,0,4,666.37872,.90323043
94,1,1,31.413717,1,3,597.82758,.90531117
142,1,0,77.290855,0,2,626.10986,.90753496
124,1,0,70.085297,0,2,616.01587,.90759224
41,1,1,110.7946,0,4,675.93475,.91138029
121,1,0,71.636627,1,4,631.74091,.91250288
71,1,1,75.622131,0,1,589.5036,.91522491
14,1,1,91.806633,1,2,632.08575,.91709298
60,1,1,49.197689,1,1,599.37872,.91983616
22,1,1,111.89027,1,2,665.63702,.92367715
43,1,1,113.48387,0,4,667.08893,.92593199
153,1,0,75.564758,1,2,642.5191,.92965561
100,1,1,93.089767,1,4,637.99048,.93276495
20,1,1,86.954201,1,1,627.43927,.93893635
34,1,1,43.473221,1,1,594.64832,.93928128
139,1,0,76.833115,1,4,613.73956,.94385529
55,1,1,78.246414,0,2,597.79395,.94988519
40,1,1,130.61803,1,1,693.31915,.95120877
97,1,1,123.5513,0,1,669.55463,.95252061
84,1,1,87.080849,1,4,642.9176,.95442915
46,1,1,74.400208,1,4,640.95715,.95925212
101,1,1,96.526657,0,3,657.05676,.96202308
111,1,0,94.599258,1,3,578.83722,.96684778
39,1,1,137.24748,0,2,657.49213,.96887612
113,1,0,116.2784,1,4,693.48792,.96986496
116,1,0,81.957352,0,3,632.98718,.96989518
42,1,1,108.54409,1,3,676.64453,.97429347
88,1,1,38.535778,1,4,607.52411,.97540307
38,1,0,129.60191,1,2,699.52734,.98143268
45,1,1,53.794922,0,1,578.54352,.9852373
109,1,0,60.235146,1,4,629.73206,.99265754
79,1,1,121.2393,0,2,689.69281,1
47,1,1,112.49355,0,1,629.05737,1
75,1,1,53.93,0,3,554.15942,1
151,1,0,133.27141,1,4,722.05939,1
136,1,0,117.68839,0,4,698.67773,1
78,1,1,68.089783,1,2,602.31372,1
152,1,0,114.90472,0,4,666.04828,1
128,1,0,117.73589,0,3,689.16644,1
103,1,0,146.71071,0,1,722.24194,1
133,1,0,104.29135,1,4,683.25818,1
125,1,0,80.75602,1,1,630.2373,1
146,1,0,76.932396,0,3,602.24945,1
18,1,1,49.680153,1,1,621.64929,1
15,1,1,100.61443,0,1,627.00165,1
76,1,1,93.517723,1,1,640.3595,1
137,1,0,112.10924,1,4,616.47601,1
36,1,1,41.277874,1,1,609.36658,1
80,1,1,103.48975,1,2,657.64221,1
147,1,0,80.251511,1,4,623.60608,1
154,1,0,73.493027,0,1,620.67542,1
119,1,0,38.245182,1,3,566.85089,1
144,1,0,44.741096,0,4,600.67072,1
57,1,1,74.066383,0,3,604.00494,1
10,1,1,77.064796,1,1,628.78326,1
69,1,0,128.20213,0,3,696.86694,1
16,1,1,52.541546,1,1,604.97339,1
66,1,1,120.3716,1,4,677.44934,1
141,1,1,43.580173,1,1,551.40521,.73835832
106,1,0,87.67588,0,4,687.74451,1
25,1,1,70.622139,0,2,608.98151,1
5,1,1,119.76096,1,2,659.66846,1
32,1,1,84.543015,1,1,620.52661,1
155,1,0,68.608215,1,3,591.55585,1
129,1,0,57.504341,1,4,612.46814,1
87,1,1,56.227268,0,3,599.01587,1
93,1,1,96.751152,0,4,626.35144,1
21,1,1,83.20076,0,1,597.06488,1
51,1,1,56.225063,0,1,583.15234,1
65,1,1,37.853226,0,3,598.46313,1
1,1,1,95.595123,0,2,657.87463,1
143,1,0,92.612976,1,4,634.90906,1
28,1,1,92.310959,1,4,633.97931,1
